"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"233"	"MALACOCEPHALUS OCCIDENTALIS"	280	165390	"WESTERN SOFTHEAD GRENADIER"	"Goode and Bean, 1885"
"234"	"YARELLA BLACKFORDI"	281	162205	NA	NA
"235"	"SPIRONTOCARIS PHIPPSII"	285	96761	"PUNCTATE BLADE SHRIMP"	"(Kroyer, 1841)"
"236"	"SPIRONTOCARIS SPINUS"	286	96775	"PARROT SHRIMP"	"(Sowerby, 1805)"
"237"	"CRANGON SEPTEMSPINOSA"	287	97110	"SEVENSPINE BAY SHRIMP"	"Say, 1818"
"238"	"EUALUS FABRICII"	291	96805	"ARCTIC EUALID"	"(Kroyer, 1841)"
"239"	"PASIPHAEA MULTIDENTATA"	292	96166	"PINK GLASS SHRIMP"	"Esmark, 1866"
"240"	"LEBBEUS GROENLANDICUS"	293	96787	"SPINY LEBBEID"	"(Fabricius, 1775)"
"241"	"LEBBEUS POLARIS"	294	96792	"POLAR LEBBEID"	"(Sabine, 1821)"
"242"	"SPIRONTOCARIS LILJEBORGII"	295	96765	"FRIENDLY BLADE SHRIMP"	"(Danielssen, 1859)"
"243"	"DICHELOPANDALUS LEPTOCERUS"	296	97000	"BRISTLED LONGBEAK"	"(Smith, 1881)"
"244"	"PANDALUS MONTAGUI"	297	96971	"AESOP SHRIMP"	"Leach, 1814"
"245"	"PANDALUS PROPINQUUS"	298	96986	NA	"G. O. Sars, 1869"
"246"	"PONTOPHILUS NORVEGICUS"	299	97184	"NORWEGIAN SHRIMP"	"(M. Sars, 1861)"
"247"	"HOMARUS AMERICANUS"	301	97314	"AMERICAN LOBSTER"	"H. Milne-Edwards, 1837"
"248"	"SCYLLARIDES NODIFER"	302	97673	"RIDGED SLIPPER LOBSTER"	"(Stimpson, 1866)"
"249"	"SCYLLARIDES AEQUINOCTIALIS"	303	97676	"SPANISH SLIPPER LOBSTER"	"(Lund, 1793)"
"250"	"PANULIRUS ARGUS"	304	97648	"CARIBBEAN SPINY LOBSTER"	"(Latreille, 1804)"
"251"	"CRUSTACEA SHRIMP"	305	NA	"SHRIMP UNCL"	NA
"252"	"PANDALUS BOREALIS"	306	96967	"NORTHERN SHRIMP"	"Kroyer, 1838"
"253"	"PENAEUS "	307	95603	"SHRIMP (PINK -BROWN - WHITE)"	NA
"254"	"GERYON FENNERI"	308	98909	"GOLDEN DEEPSEA CRAB"	"Manning and Holthuis, 1984"
"255"	"GERYON AFFINIS"	309	98908	"WHITE CRAB"	NA
"256"	"GERYON QUINQUEDENS"	310	98906	"RED DEEPSEA CRAB"	"Smith, 1879"
"257"	"CANCRIDAE"	311	98670	"CANCER CRAB UNCL"	"Latreille, 1803"
"258"	"CANCER BOREALIS"	312	98678	"JONAH CRAB"	"Stimpson, 1859"
"259"	"CANCER IRRORATUS"	313	98679	"ATLANTIC ROCK CRAB"	"Say, 1817"
"260"	"CALLINECTES SAPIDUS"	314	98696	"BLUE CRAB"	"Rathbun, 1896"
"261"	"OVALIPES "	315	98710	"CALICO CRAB UNCL"	NA
"262"	"SICYONIA BREVIROSTRIS"	316	96028	"BROWN ROCK SHRIMP"	"Stimpson, 1871"
"263"	"MAJIDAE"	317	98417	"SPIDER CRAB UNCL"	"Samouelle, 1819"
"264"	"LIMULUS POLYPHEMUS"	318	82703	"HORSESHOE CRAB"	NA
"265"	"GALATHEIDAE"	319	97964	"GALATHEID UNCL"	"Samouelle, 1819"
"266"	"PORTUNIDAE"	320	98689	"SWIMMING CRAB UNCL"	"Rafinesque, 1815"
