"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,LITHODES MAJA,324,97943,NORTHERN STONE CRAB,(Linnaeus, 1758)
NA,CHIONOECETES OPILIO,325,98428,SNOW CRAB,(Fabricius, 1788)
NA,CARCINUS MAENAS,326,98734,GREEN CRAB,(Linnaeus, 1758)
NA,HEPATUS EPHELITICUS,327,98348,CALICO BOX CRAB,(Linnaeus, 1763)
NA,CALAPPA FLAMMEA,328,98342,FLAME BOX CRAB,(Herbst, 1794)
NA,CALAPPA SULCATA,329,98343,YELLOW BOX CRAB,Rathbun, 1898
NA,CLYPEASTEROIDA,330,157984,SAND DOLLAR UNCL,NA
NA,ECHINOIDEA,331,157821,SEA URCHIN AND SAND DOLLAR UNCL,Leske, 1778
NA,STELLEROIDEA,332,156858,SEA STAR - BRITTLE STAR - AND BASKETS,Lamarck, 1816
NA,ASTERIAS VULGARIS,333,157219,BOREAL ASTERIAS,NA
NA,ASTROPECTEN ,334,156901,NA,NA
NA,PAGUROIDEA,335,206947,HERMIT CRAB UNCL,Latreille, 1803
NA,BUSYCOTYPUS CANALICULATUS,336,74096,CHANNELED WHELK,(Linnaeus, 1758)
NA,BUSYCON CARICA,337,74071,KNOBBED WHELK,(Gmelin, 1791)
NA,NATICIDAE,338,72878,MOON SNAIL SHARK EYE AND BABY-EAR,Guilding, 1834
NA,CALAPPIDAE,339,98340,BOX CRAB UNCL,De Haan, 1833
NA,CHLAMYS ISLANDICA,340,79619,ICELAND SCALLOP,(Muller, 1776)
NA,CHLAMYS ISLANDICA CLAPPER,341,NA,ICELAND SCALLOP CLAPPER,NA
NA,MODIOLUS MODIOLUS,342,79501,NORTHERN HORSEMUSSEL,(Linnaeus, 1758)
NA,MYTILUS EDULIS,343,79454,BLUE MUSSEL,Linnaeus, 1758
NA,BUCCINUM UNDATUM,344,73795,WAVED WHELK,Linnaeus, 1758
NA,NEPTUNEA DECEMCOSTATA,345,74008,TEN-RIDGED WHELK,(Say, 1826) (syn)
NA,COLUS STIMPSONI,346,73922,STIMPSON'S WHELK,(Morch, 1867)
NA,NASSARIUS ,347,74103,NA,NA
NA,EUSPIRA HEROS,348,72985,NORTHERN MOONSNAIL,(Say, 1822)
NA,NEVERITA DUPLICATA,349,72961,SHARK EYE,(Say, 1822)
NA,GINGLYMOSTOMA CIRRATUM,350,159977,NURSE SHARK,(Bonnaterre, 1788)
NA,CARCHARODON CARCHARIAS,351,159903,WHITE SHARK,(Linnaeus, 1758)
NA,ISURUS OXYRINCHUS,352,159924,SHORTFIN MAKO,Rafinesque, 1810
NA,LAMNA NASUS,353,159911,PORBEAGLE SHARK,(Bonnaterre, 1788)
NA,CARCHARHINUS ACRONOTUS,354,160304,BLACKNOSE SHARK,(Poey, 1860)
NA,CARCHARHINUS FALCIFORMIS,355,160310,SILKY SHARK,(Muller and Henle, 1839)
NA,CARCHARHINUS LEUCAS,356,160275,BULL SHARK,(Muller and Henle, 1839)
NA,CARCHARHINUS LIMBATUS,357,160318,BLACKTIP SHARK,(Muller and Henle, 1839)
NA,GALEOCERDO CUVIER,358,160189,TIGER SHARK,(Peron and Lesueur, 1822)
NA,NEGAPRION BREVIROSTRIS,359,160433,LEMON SHARK,(Poey, 1868)
NA,RHIZOPRIONODON TERRAENOVAE,360,160200,ATLANTIC SHARPNOSE SHARK,(Richardson, 1836)
NA,CARCHARHINIDAE,361,160178,REQUIEM SHARK UNCL,Jordan and Evermann, 1896
