strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"SHELLFISH","06280","SNE HUDSON CANYN",149,3925,7241,3912,3936,7231,7254,,,,,,
"SHELLFISH","06290","SNE HUDSON CANYN",1096,4026,7257,4002,4047,7220,7337,,,,,,
"SHELLFISH","06300","SNE HUDSON CANYN",669,4015,7244,3949,4035,7216,7317,,,,,,
"SHELLFISH","06310","SNE HUDSON CANYN",932,4007,7226,3936,4031,7157,7313,,,,,,
"SHELLFISH","06320","SNE HUDSON CANYN",627,3955,7209,3929,4011,7143,7244,,,,,,
"SHELLFISH","06330","SNE LONG ISLAND",363,4049,7204,4035,4100,7146,7232,,,,,,
"SHELLFISH","06340","SNE LONG ISLAND",203,4041,7158,4031,4056,7144,7221,,,,,,
"SHELLFISH","06350","SNE LONG ISLAND",601,4033,7147,4011,4054,7123,7217,,,,,,
"SHELLFISH","06360","SNE LONG ISLAND",694,4013,7131,3956,4034,7113,7157,,,,,,
"SHELLFISH","06370","SNE BLOCK ISLAND",672,4110,7111,4057,4126,7049,7149,,,,,,
"SHELLFISH","06380","SNE BLOCK ISLAND",280,4057,7109,4047,4100,7045,7146,,,,,,
"SHELLFISH","06390","SNE BLOCK ISLAND",967,4043,7105,4024,4058,7037,7145,,,,,,
"SHELLFISH","06400","SNE BLOCK ISLAND",513,4025,7100,4011,4033,7033,7124,,,,,,
"SHELLFISH","06410","SNE NANTUCKET",602,4103,7021,4039,4115,7000,7051,,,,,,
"SHELLFISH","06420","SNE NANTUCKET",343,4047,7024,4035,4103,7000,7049,,,,,,
"SHELLFISH","06430","SNE NANTUCKET",432,4032,7022,4025,4051,7000,7044,,,,,,
"SHELLFISH","06440","SNE NANTUCKET",383,4017,7016,4009,4029,7000,7037,,,,,,
"SHELLFISH","06450","SNE NANTUCKET",392,4048,6934,4040,4100,6917,7000,,,,,,
"SHELLFISH","06460","SNE NANTUCKET",416,4038,6923,4033,4100,6911,7000,,,,,,
"SHELLFISH","06470","SNE NANTUCKET",871,4029,6923,4019,4100,6850,7000,,,,,,
"SHELLFISH","06480","SNE NANTUCKET",1109,4019,6914,4000,4100,6848,7000,,,,,,
"SHELLFISH","06490","GME GT S CHANNEL",244,4128,6931,4100,4201,6915,6959,,,,,,
"SHELLFISH","06500","GME GT S CHANNEL",150,4132,6928,4100,4202,6910,6957,,,,,,
"SHELLFISH","06510","GME GT S CHANNEL",139,4132,6925,4100,4203,6906,6956,,,,,,
"SHELLFISH","06520","GME GT S CHANNEL",307,4128,6919,4100,4204,6855,6954,,,,,,
"SHELLFISH","06530","GEO GT S CHANNEL",268,4155,6836,4103,4140,6826,6858,,,,,,
"SHELLFISH","06540","GEO GT S CHANNEL",278,4114,6836,4100,4139,6820,6855,,,,,,
"SHELLFISH","06550","GEO SOUWEST PART",364,4042,6843,4027,4112,6702,6855,,,,,,
"SHELLFISH","06560","GEO SOUWEST PART",209,4024,6838,4015,4059,6648,6850,,,,,,
"SHELLFISH","06570","GEO SOUWEST PART",184,4045,6812,4035,4056,6800,6830,,,,,,
"SHELLFISH","06580","GEO SOUWEST PART",300,4034,6814,4019,4045,6800,6830,,,,,,
"SHELLFISH","06590","GEO SOUEAST PART",538,4059,6731,4042,4112,6702,6800,,,,,,
"SHELLFISH","06600","GEO SOUEAST PART",816,4043,6726,4029,4058,6649,6800,,,,,,
"SHELLFISH","06610","GEO SOUEAST PART",576,4117,6656,4058,4130,6642,6720,,,,,,
"SHELLFISH","06620","GEO SOUEAST PART",701,4111,6642,4048,4130,6605,6702,,,,,,
"SHELLFISH","06621","GEO SOUEAST PART",551,,,4049,4130,6620,6705,,,,,,
"SHELLFISH","06622","GEO SOUEAST PART",150,,,4113,4130,6605,6635,,,,,,
"SHELLFISH","06630","GEO NOREAST PEAK",694,4150,6645,4130,4205,6641,6708,,,,,,
"SHELLFISH","06631","GEO NOREAST PEAK",345,,,4130,4204,6639,6708,,,,,,
"SHELLFISH","06632","GEO NOREAST PEAK",368,,,4136,4204,6632,6704,,,,,,
"SHELLFISH","06640","GEO NOREAST PEAK",988,4150,6610,4130,4205,6554,6643,,,,,,
"SHELLFISH","06650","GEO NORTHRN EDGE",164,4152,6741,4140,4208,6642,6825,,,,,,
"SHELLFISH","06651","GEO NORTHRN EDGE",115,,,4140,4208,6704,6826,,,,,,
"SHELLFISH","06652","GEO NORTHRN EDGE",60,,,4204,4208,6642,6707,,,,,,
"SHELLFISH","06660","GEO NORTHRN EDGE",266,4208,6711,4139,4211,6604,6827,,,,,,
"SHELLFISH","06661","GEO NORTHRN EDGE",122,,,4139,4210,6707,6826,,,,,,
"SHELLFISH","06662","GEO NORTHRN EDGE",173,,,4204,4210,6603,6708,,,,,,
"SHELLFISH","06670","GEO CULTIVATOR",210,4120,6819,4100,4148,6806,6840,,,,,,
"SHELLFISH","06680","GEO CULTIVATOR",370,4135,6806,4113,4147,6749,6820,,,,,,
"SHELLFISH","06690","GEO LITTLE GEORG",938,4117,6753,4052,4134,6722,6833,,,,,,
"SHELLFISH","06700","GEO LITTLE GEORG",520,4057,6804,4039,4114,6720,6841,,,,,,
